movieId,title,genres,imdbId,tmdbId,avg_rating,rating_count,original_language,original_title,popularity,release_date,runtime,vote_average,poster_url
17,Sense and Sensibility (1995),Drama|Romance,114388,4584.0,3.9451260617500337,22251.0,en,Sense and Sensibility,8.0914,1995-12-13,136,7.422,https://image.tmdb.org/t/p/w500/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,113101,5.0,3.403488935551607,6191.0,en,Four Rooms,2.5683,1995-12-09,98,5.883,https://image.tmdb.org/t/p/w500/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273.0,2.663910016499658,24849.0,en,Ace Ventura: When Nature Calls,3.8056,1995-11-10,90,6.32,https://image.tmdb.org/t/p/w500/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517.0,2.8714584300975385,4306.0,en,Money Train,4.6156,1995-11-21,110,5.845,https://image.tmdb.org/t/p/w500/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012.0,3.5650851826493213,24829.0,en,Get Shorty,3.1197,1995-10-20,105,6.499,https://image.tmdb.org/t/p/w500/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710.0,3.315886401085587,10317.0,en,Copycat,3.4438,1995-10-27,124,6.5,https://image.tmdb.org/t/p/w500/oMgwJb016znNZcpDR20eXxZoW8A.jpg
23,Assassins (1995),Action|Crime|Thriller,112401,9691.0,3.1504133983464064,4717.0,en,Assassins,2.6716,1995-10-06,132,6.493,https://image.tmdb.org/t/p/w500/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg
24,Powder (1995),Drama|Sci-Fi,114168,12665.0,3.186060532979621,8293.0,en,Powder,8.4289,1995-10-27,112,7.0,https://image.tmdb.org/t/p/w500/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg
25,Leaving Las Vegas (1995),Drama|Romance,113627,451.0,3.6761820199778024,22525.0,en,Leaving Las Vegas,3.7236,1995-10-27,111,7.25,https://image.tmdb.org/t/p/w500/wTrFpGe3U65kXTldIUxuM2hmOAK.jpg
26,Othello (1995),Drama,114057,16420.0,3.6079586009992863,2802.0,en,Othello,1.0607,1995-12-15,123,6.3,https://image.tmdb.org/t/p/w500/kyevuYzW36wKadiE8lftLac5VwQ.jpg
27,Now and Then (1995),Children|Drama,114011,9263.0,3.412597114317425,1802.0,en,Now and Then,3.8388,1995-10-20,100,6.885,https://image.tmdb.org/t/p/w500/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg
28,Persuasion (1995),Drama|Romance,114117,17015.0,4.041238670694864,3310.0,en,Persuasion,9.4531,1995-05-01,104,7.126,https://image.tmdb.org/t/p/w500/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902.0,3.929884202698396,9413.0,fr,La Cité des Enfants Perdus,1.8162,1995-05-17,112,7.238,https://image.tmdb.org/t/p/w500/whwT3Q9JxbAYzEc3t7uYYcCbTMf.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557.0,3.6296153846153847,1300.0,zh,摇啊摇，摇到外婆桥,3.562,1995-09-14,108,6.767,https://image.tmdb.org/t/p/w500/tzG1UxUSfPACREjgBrsPDRUvneH.jpg
31,Dangerous Minds (1995),Drama,112792,9909.0,3.2411718673579184,10223.0,en,Dangerous Minds,7.9523,1995-08-11,99,6.961,https://image.tmdb.org/t/p/w500/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63.0,3.910185436454093,55275.0,en,Twelve Monkeys,8.5124,1995-01-05,129,7.603,https://image.tmdb.org/t/p/w500/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg
33,Wings of Courage (1995),Adventure|Romance|IMAX,114952,78802.0,3.014925373134328,67.0,fr,"Guillaumet, les ailes du courage",0.4293,1995-06-16,50,6.5,https://image.tmdb.org/t/p/w500/zoxqNb6v55C35DDqNn03Grzhzgr.jpg
34,Babe (1995),Children|Drama,112431,9598.0,3.586935972643109,35969.0,en,Babe,4.6417,1995-07-18,92,6.256,https://image.tmdb.org/t/p/w500/zKuQMtnbVTz9DsOnOJmlW71v4qH.jpg
35,Carrington (1995),Drama|Romance,112637,47018.0,3.485303941215765,1497.0,en,Carrington,3.2198,1995-05-25,121,6.1,https://image.tmdb.org/t/p/w500/8NmeBTkC4UQa8XT2GGsBN2R8Bqo.jpg
36,Dead Man Walking (1995),Crime|Drama,112818,687.0,3.920561606691484,21759.0,en,Dead Man Walking,2.9052,1995-12-29,122,7.319,https://image.tmdb.org/t/p/w500/eShxyjhWoFl3BwsuEmVsr4nLaMZ.jpg
37,Across the Sea of Time (1995),Documentary|IMAX,112286,139405.0,2.9823529411764707,85.0,en,Across the Sea of Time,0.2544,1995-10-20,51,5.2,https://image.tmdb.org/t/p/w500/iP0bT4f4BTAZ6fWKgLmd4lNeJ2H.jpg
38,It Takes Two (1995),Children|Comedy,113442,33689.0,2.9193333333333333,750.0,en,It Takes Two,2.3134,1995-11-17,101,6.495,https://image.tmdb.org/t/p/w500/4CptjFLiIJXtjc3dykS7vkEHMbw.jpg
39,Clueless (1995),Comedy|Romance,112697,9603.0,3.4290240397177945,30616.0,en,Clueless,6.0027,1995-07-19,97,7.26,https://image.tmdb.org/t/p/w500/8AwVTcgpTnmeOs4TdTWqcFDXEsA.jpg
40,"Cry, the Beloved Country (1995)",Drama,112749,34615.0,3.628409090909091,880.0,en,"Cry, the Beloved Country",7.9433,1995-12-15,106,6.7,https://image.tmdb.org/t/p/w500/96TZr6o4kuiIEryC5jkzaQoP6m5.jpg
41,Richard III (1995),Drama|War,114279,31174.0,3.8362394957983192,4760.0,en,Richard III,5.4896,1995-12-29,104,6.725,https://image.tmdb.org/t/p/w500/aN2BcIH6rvGbYiRQCS8lxOdeeVQ.jpg
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443.0,3.0438084112149535,2568.0,en,Dead Presidents,1.9351,1995-09-29,119,6.663,https://image.tmdb.org/t/p/w500/wRLepMZoUCwjLFb1WSbuUT6uVWR.jpg
43,Restoration (1995),Drama,114272,35196.0,3.458398133748056,2572.0,en,Restoration,1.0156,1995-12-29,117,6.1,https://image.tmdb.org/t/p/w500/z1YM3WFZnF2NwHT5IRGYUcvZBSl.jpg
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312.0,2.669195008563739,12261.0,en,Mortal Kombat,4.6697,1995-08-18,101,5.878,https://image.tmdb.org/t/p/w500/fcK7tzSSXMYiMN8E9KlZJL1BYyp.jpg
45,To Die For (1995),Comedy|Drama|Thriller,114681,577.0,3.3785192349022135,9306.0,en,To Die For,2.5901,1995-09-22,106,6.581,https://image.tmdb.org/t/p/w500/whz4bwvqE1OmQHIyqHdZD8jU9CO.jpg
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861.0,3.267851525636993,3179.0,en,How to Make an American Quilt,1.2428,1995-10-06,116,6.39,https://image.tmdb.org/t/p/w500/pI9UAemlWgdrnjRgYJsbTk8BSJc.jpg
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807.0,4.087198647666593,63298.0,en,Se7en,17.3677,1995-09-22,127,8.379,https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530.0,2.9902342503350994,15667.0,en,Pocahontas,6.5664,1995-06-16,81,6.912,https://image.tmdb.org/t/p/w500/kZ1ft0QZ4e3zDUPMBftEkwI9ftd.jpg
49,When Night Is Falling (1995),Drama|Romance,114916,8391.0,3.5285171102661597,263.0,en,When Night Is Falling,1.3148,1995-02-01,96,6.261,https://image.tmdb.org/t/p/w500/6Ac5GLwJ01uli5mCXqXwquR36Y1.jpg
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629.0,4.265070110701107,67750.0,en,The Usual Suspects,10.8523,1995-07-19,106,8.171,https://image.tmdb.org/t/p/w500/99X2SgyFunJFXGAYnDv3sb9pnUD.jpg
51,Guardian Angel (1994),Action|Drama|Thriller,109950,117164.0,2.6,30.0,en,Guardian Angel,1.3378,1994-11-14,97,4.4,https://image.tmdb.org/t/p/w500/AoRBM85EbRY9U0jtgy88DtV99Jl.jpg
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448.0,3.526633746585417,9518.0,en,Mighty Aphrodite,7.4654,1995-09-13,95,6.716,https://image.tmdb.org/t/p/w500/ice135yQZp4iX2SgCmd90nKgS5j.jpg
53,Lamerica (1994),Adventure|Drama,110299,49133.0,3.6792452830188678,159.0,it,Lamerica,2.3176,1994-09-09,112,7.1,https://image.tmdb.org/t/p/w500/nnLpA4mqb3gvhNJQZ00cOyBmeq3.jpg
54,"Big Green, The (1995)",Children|Comedy,112499,26441.0,2.815988647114475,1057.0,en,The Big Green,0.774,1995-09-29,100,5.6,https://image.tmdb.org/t/p/w500/nVHqIuBTcTLmAIrML7T704UwfNI.jpg
55,Georgia (1995),Drama,113158,97406.0,3.2282838983050848,944.0,en,Georgia,1.4445,1995-05-19,115,5.7,https://image.tmdb.org/t/p/w500/uXjfK404xo7SiVlFcAoRyaFqXR4.jpg
56,Kids of the Round Table (1995),Adventure|Children|Comedy|Fantasy,113541,124057.0,1.9594594594594594,74.0,en,Kids of the Round Table,3.9482,1995-12-15,89,4.4,https://image.tmdb.org/t/p/w500/1y8KAZOKrdmTI2sddcilcbRsMtI.jpg
57,Home for the Holidays (1995),Drama,113321,9089.0,3.3127294981640145,2451.0,en,Home for the Holidays,1.4778,1995-11-02,103,6.2,https://image.tmdb.org/t/p/w500/3zqlKdOttWyExzopVxglz50Vjxq.jpg
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010.0,3.9677502358692855,11659.0,it,Il postino,3.2507,1994-09-22,109,7.92,https://image.tmdb.org/t/p/w500/cUaCpjVDefYShKyLmkcDsiPaBHn.jpg
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714,99040.0,3.5695876288659796,194.0,fr,Le Confessionnal,5.605,1995-09-29,100,6.0,https://image.tmdb.org/t/p/w500/9ApR0PwQdlnvc76NmlbUWkeAK9i.jpg
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359.0,3.090638044126416,6708.0,en,The Indian in the Cupboard,1.3966,1995-07-14,96,6.458,https://image.tmdb.org/t/p/w500/ozQAmW85tTJu2dhRe3evzyY03Nb.jpg
61,Eye for an Eye (1996),Drama|Thriller,116260,17182.0,3.3109153416415986,2327.0,en,Eye for an Eye,2.5126,1996-01-12,101,6.191,https://image.tmdb.org/t/p/w500/y2lZSdJ1o0VvLegTw3ad6KFtxra.jpg
62,Mr. Holland's Opus (1995),Drama,113862,2054.0,3.711861526510002,20596.0,en,Mr. Holland's Opus,2.2,1995-12-29,143,6.946,https://image.tmdb.org/t/p/w500/kBmwWeSN3ajnYHZ3dSybEobxEPI.jpg
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607.0,3.104228486646884,2696.0,en,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,5.8949,1996-01-12,89,7.022,https://image.tmdb.org/t/p/w500/HZQBF7JDd2e9p4rPSbSHuWHaCC.jpg
64,Two if by Sea (1996),Comedy|Romance,118002,19760.0,2.827071290944123,2076.0,en,Two If by Sea,0.9594,1996-01-12,96,4.9,https://image.tmdb.org/t/p/w500/xSfqAMYqrTtDeAjPtYo0S8nc5Zz.jpg
65,Bio-Dome (1996),Comedy,115683,9536.0,2.373380335365854,5248.0,en,Bio-Dome,3.8701,1996-01-12,95,4.519,https://image.tmdb.org/t/p/w500/pjSkGZAvksrbO6tGain8PJ3rfC7.jpg
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525.0,2.1339544513457556,2415.0,en,Lawnmower Man 2: Beyond Cyberspace,1.0219,1996-01-12,92,3.289,https://image.tmdb.org/t/p/w500/aP8eGsCyZVCHgSMxhDa4KiC7H9B.jpg
67,Two Bits (1995),Drama,114753,40628.0,3.3184357541899443,179.0,en,Two Bits,1.0101,1995-10-22,85,5.7,https://image.tmdb.org/t/p/w500/ianK4zwR5Vv4JSDm3sNDh3kH86I.jpg
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482.0,3.428686543110395,1241.0,fr,Gazon maudit,8.9401,1995-01-18,95,6.057,https://image.tmdb.org/t/p/w500/xlLnHizshGBwMiNrnop2kg2nYzE.jpg
69,Friday (1995),Comedy,113118,10634.0,3.550704504862076,5039.0,en,Friday,5.5826,1995-04-26,91,7.1,https://image.tmdb.org/t/p/w500/2lReF53F8trkC68piGSfk0JVwWU.jpg
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755.0,3.3432596291012837,16824.0,en,From Dusk Till Dawn,7.5198,1996-01-19,108,7.035,https://image.tmdb.org/t/p/w500/sV3kIAmvJ9tPz4Lq5fuf9LLMxte.jpg
71,Fair Game (1995),Action,113010,11859.0,2.3422818791946307,1341.0,en,Fair Game,1.5973,1995-11-03,91,5.12,https://image.tmdb.org/t/p/w500/qcxsWOzBaF7MZNNThtRQWQ9Wrdk.jpg
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387.0,3.478955007256894,1378.0,en,Kicking and Screaming,1.106,1995-10-06,96,6.177,https://image.tmdb.org/t/p/w500/ynAtSpTou7snNOq32djzILw9VCA.jpg
73,"Misérables, Les (1995)",Drama|War,113828,48750.0,3.796613011401744,2982.0,fr,Les Misérables,6.3293,1995-03-22,175,6.7,https://image.tmdb.org/t/p/w500/toQ6BJCiKVSnklpsma2GnJ6KKah.jpg
74,Bed of Roses (1996),Drama|Romance,115644,20927.0,3.2896213183730714,3565.0,en,Bed of Roses,2.7082,1996-01-26,87,5.847,https://image.tmdb.org/t/p/w500/zCXvHCEm8334d0d646ldDkXnKws.jpg
75,Big Bully (1996),Comedy|Drama,115676,36929.0,2.4296610169491526,590.0,en,Big Bully,3.3056,1996-01-26,90,4.6,https://image.tmdb.org/t/p/w500/dws3JR4Yi325Tz33XnuXEB6XjGr.jpg
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102.0,3.0267387087835966,3609.0,en,Screamers,7.1484,1995-09-08,108,6.224,https://image.tmdb.org/t/p/w500/eqgBf791rMZG7ywHfObpXeMpiRf.jpg
77,Nico Icon (1995),Documentary,113973,124626.0,3.425339366515837,221.0,en,Nico Icon,1.2981,1995-09-08,70,7.5,https://image.tmdb.org/t/p/w500/w3oiJZTB1UP3lj0uSVLdsYfsBbC.jpg
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526.0,3.1736883942766294,1258.0,en,The Crossing Guard,4.2724,1995-01-26,111,6.0,https://image.tmdb.org/t/p/w500/kogaCIIylHmWQo2gJrrdq8Br8b8.jpg
79,"Juror, The (1996)",Drama|Thriller,116731,9623.0,3.122461702885643,5614.0,en,The Juror,4.7911,1996-02-02,118,5.7,https://image.tmdb.org/t/p/w500/31mRYhJvaknQx8PQnR2UV7YCkLT.jpg
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785.0,3.7394957983193278,595.0,fa,بادکنک سفید,4.7052,1995-01-02,85,7.461,https://image.tmdb.org/t/p/w500/u6jrlgZZx3zSFPDPTVOYpueljgH.jpg
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400.0,3.2526427061310783,3311.0,en,Things to Do in Denver When You're Dead,1.5076,1995-12-01,116,6.449,https://image.tmdb.org/t/p/w500/3LxYzYybOVpnw0juCSlNL5cj8NK.jpg
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880.0,4.010176125244619,2555.0,nl,Antonia,0.9558,1995-09-21,102,6.911,https://image.tmdb.org/t/p/w500/nUCVi6bBIL7LGC61nYaCqikAhIA.jpg
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599.0,3.640916808149406,589.0,en,Once Upon a Time... When We Were Colored,0.3138,1996-01-26,115,3.6,https://image.tmdb.org/t/p/w500/2qeQStLy1wiqDFa1Dnm02f5UacO.jpg
84,Last Summer in the Hamptons (1995),Comedy|Drama,113612,188588.0,3.3765822784810124,158.0,en,Last Summer in the Hamptons,0.3297,1995-11-22,108,5.5,https://image.tmdb.org/t/p/w500/g3m93gROYRRgu7lyQPzrka612uK.jpg
85,Angels and Insects (1995),Drama|Romance,112365,8447.0,3.523122456529782,2703.0,en,Angels and Insects,2.1759,1995-09-10,118,6.134,https://image.tmdb.org/t/p/w500/w1i5JdddoLuzSmnKo5ORDoKdMm2.jpg
86,White Squall (1996),Action|Adventure|Drama,118158,10534.0,3.4791952446273435,4374.0,en,White Squall,7.3984,1996-02-02,129,6.256,https://image.tmdb.org/t/p/w500/muhTVa52IufjTaqNseXFQUAEuyG.jpg
87,Dunston Checks In (1996),Children|Comedy,116151,17414.0,2.3810408921933086,1076.0,en,Dunston Checks In,1.3369,1996-01-12,88,5.379,https://image.tmdb.org/t/p/w500/xR2cWC04kWNr7TBeXNOf4uOqn00.jpg
88,Black Sheep (1996),Comedy,115697,13997.0,3.1087839084701976,5419.0,en,Black Sheep,1.5243,1996-02-01,86,6.072,https://image.tmdb.org/t/p/w500/bqIW5oE4WeHAvk1nh2Y6rfOLGrF.jpg
89,Nick of Time (1995),Action|Thriller,113972,2086.0,3.127209504491452,3451.0,en,Nick of Time,6.631,1995-11-22,89,6.233,https://image.tmdb.org/t/p/w500/A1FJwUVg84sQSjHVz5jVMXQvifJ.jpg
90,The Journey of August King (1995),Drama,113490,61548.0,3.3440366972477062,218.0,en,The Journey of August King,0.373,1995-09-14,91,6.7,https://image.tmdb.org/t/p/w500/1kWPXnCyUo20QCrv8lwQhTFPj9f.jpg
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095.0,2.841313559322034,2360.0,en,Mary Reilly,1.3372,1996-02-23,108,5.757,https://image.tmdb.org/t/p/w500/cW5wTiv5fdtBOd22utmAIZBCMS3.jpg
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158.0,2.4981220657276997,2130.0,en,Vampire in Brooklyn,1.2298,1995-10-26,102,5.08,https://image.tmdb.org/t/p/w500/fodPA5x3REtOwColG17CucreZqM.jpg
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283.0,3.5247252747252746,4186.0,en,Beautiful Girls,1.5005,1996-02-09,112,6.635,https://image.tmdb.org/t/p/w500/sHcx1fBmrtZYvFmUywU0d5cvIFd.jpg
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208.0,3.0771074451546037,23156.0,en,Broken Arrow,3.2245,1996-02-09,108,6.1,https://image.tmdb.org/t/p/w500/iBPMwYYJFvdCBkXrwV75peo5Lz2.jpg
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154.0,3.6786447638603694,487.0,en,In the Bleak Midwinter,4.4358,1995-09-29,99,7.1,https://image.tmdb.org/t/p/w500/lam5mVjru6yhgG8N1MHCqAUrxzL.jpg
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406.0,4.004987175833571,3509.0,fr,La Haine,5.9807,1995-05-31,98,8.1,https://image.tmdb.org/t/p/w500/8rgPyWjYZhsphSSxbXguMnhN7H0.jpg
98,Shopping (1994),Action|Thriller,111173,45549.0,2.614130434782609,92.0,en,Shopping,4.3333,1994-12-06,105,5.333,https://image.tmdb.org/t/p/w500/jiIQO8UWyvVkdJEujb6VWKUBzaz.jpg
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076.0,3.0894808743169397,732.0,en,Heidi Fleiss: Hollywood Madam,2.4047,1995-12-27,106,6.6,https://image.tmdb.org/t/p/w500/laPSb9I8TuYslOh1OcgaTByWKnw.jpg
100,City Hall (1996),Drama|Thriller,115907,11062.0,3.2182233991333655,4154.0,en,City Hall,1.724,1996-02-16,111,5.9,https://image.tmdb.org/t/p/w500/w7EkAl4Oi8Lc6VQKaqRHrOV3CxR.jpg
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685.0,3.7507196315486473,5211.0,en,Bottle Rocket,6.557,1996-02-21,91,6.693,https://image.tmdb.org/t/p/w500/wOPiNYt9V3Cbr9Izeddwj7nU8RT.jpg
102,Mr. Wrong (1996),Comedy,117102,47475.0,2.4039506172839507,2025.0,en,Mr. Wrong,6.2914,1996-02-16,96,3.952,https://image.tmdb.org/t/p/w500/csSkKS6rcGjG8jjpwKZPVCD7Kiq.jpg
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045.0,3.252166377816291,1154.0,en,Unforgettable,5.0909,1996-02-23,116,5.598,https://image.tmdb.org/t/p/w500/500Ne3EDn3HHpuCQWwGKR74r0cB.jpg
104,Happy Gilmore (1996),Comedy,116483,9614.0,3.397988067761181,22963.0,en,Happy Gilmore,6.4535,1996-02-16,92,6.673,https://image.tmdb.org/t/p/w500/4RnCeRzvI1xk5tuNWjpDKzSnJDk.jpg
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688.0,3.335110058237094,10131.0,en,The Bridges of Madison County,5.1105,1995-06-02,135,7.704,https://image.tmdb.org/t/p/w500/teGMLWvCnJqvtPYCSuUKRM9MvFe.jpg
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,110251,11907.0,3.423357664233577,137.0,de,Keiner liebt mich,0.6198,1994-11-07,104,6.157,https://image.tmdb.org/t/p/w500/vBDJPkoTOKT9F1zx0y9tT7G62vF.jpg
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874.0,3.221542317900324,6782.0,en,Muppet Treasure Island,6.6988,1996-02-16,99,6.684,https://image.tmdb.org/t/p/w500/k4KW2CUkzDKaCy4H4cS02cO8gvV.jpg
108,Catwalk (1996),Documentary,112646,89333.0,3.089430894308943,123.0,en,Catwalk,1.8546,1995-12-08,95,7.5,https://image.tmdb.org/t/p/w500/8Db2Tx2RkTUozzilF1SGMitcHLl.jpg
109,Headless Body in Topless Bar (1995),Comedy|Drama|Thriller,113276,96357.0,2.0625,16.0,en,Headless Body in Topless Bar,0.2041,1995-05-20,110,3.0,https://image.tmdb.org/t/p/w500/tmYFCTwTLh7WW9dY4cuDF8gqLRC.jpg
110,Braveheart (1995),Action|Drama|War,112573,197.0,3.9886301488155205,69482.0,en,Braveheart,10.4918,1995-05-24,178,7.9,https://image.tmdb.org/t/p/w500/or1gBugydmjToAEq7OZY0owwFk.jpg
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103.0,4.076663846972467,36647.0,en,Taxi Driver,13.6523,1976-02-09,114,8.129,https://image.tmdb.org/t/p/w500/ekstpH614fwDX8DUln1a2Opz0N8.jpg
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542.0,3.40522424439389,12308.0,cn,紅番區,4.417,1995-01-21,106,6.818,https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg
113,Before and After (1996),Drama|Mystery,115645,43566.0,3.105095541401274,1099.0,en,Before and After,1.5956,1996-02-23,108,5.9,https://image.tmdb.org/t/p/w500/oK8UKDrjFS14OFoihaQPfmmMOyI.jpg
